Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Angelica,2021-01-21 07:44:48,00:11:22,,The Promised Neverland: Season 1: EPISODE.05 301045,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:21:27,00:21:27,US (United States)
Angelica,2021-01-21 03:09:26,00:10:44,Autoplayed: user action: Unspecified; ,The Promised Neverland: Season 1: EPISODE.05 301045,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:10:07,Not latest view,US (United States)
Angelica,2021-01-20 08:26:36,00:00:45,Autoplayed: user action: None; ,The Promised Neverland: Season 1: EPISODE.05 301045,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:02:15,Not latest view,US (United States)
Angelica,2021-01-20 08:06:35,00:19:58,,The Promised Neverland: Season 1: EPISODE.04 291045,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:21:28,00:21:28,US (United States)
Angelica,2021-01-20 06:31:38,00:37:48,Autoplayed: user action: Unspecified; ,The Promised Neverland: Season 1: EPISODE.03 181045,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:21:24,00:21:24,US (United States)
Angelica,2021-01-20 06:10:54,00:18:48,Autoplayed: user action: Unspecified; ,The Promised Neverland: Season 1: EPISODE.02 131045,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:21:28,00:21:28,US (United States)
Angelica,2021-01-20 06:10:40,00:00:05,Autoplayed: user action: None; ,Bling Empire: Season 1: Clip: Informative,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:05,00:00:05,US (United States)
Angelica,2021-01-19 06:01:19,00:02:48,Autoplayed: user action: None; ,The Promised Neverland: Season 1: EPISODE.02 131045,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:02:48,Not latest view,US (United States)
Angelica,2021-01-19 05:36:54,00:21:30,Autoplayed: user action: Unspecified; ,The Promised Neverland: Season 1: EPISODE.01 121045,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:21:30,00:21:30,US (United States)
Angelica,2021-01-19 05:36:17,00:00:06,Autoplayed: user action: None; ,Bling Empire: Season 1: Clip: Informative,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:06,Not latest view,US (United States)
Angelica,2021-01-18 08:33:19,00:17:46,Autoplayed: user action: None; ,New Girl: Season 3: The Captain (Episode 4),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:17:53,00:17:53,US (United States)
Angelica,2021-01-18 08:11:29,00:21:47,Autoplayed: user action: None; ,New Girl: Season 3: Double Date (Episode 3),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:21:48,00:21:48,US (United States)
Angelica,2021-01-18 07:49:45,00:21:40,Autoplayed: user action: None; ,New Girl: Season 3: Nerd (Episode 2),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:21:47,00:21:47,US (United States)
Angelica,2021-01-18 07:28:30,00:21:11,Autoplayed: user action: None; ,New Girl: Season 3: All In (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:21:48,00:21:48,US (United States)
Angelica,2021-01-18 07:06:46,00:21:41,Autoplayed: user action: None; ,New Girl: Season 2: Elaine's Big Day (Episode 25),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:21:41,00:21:41,US (United States)
Angelica,2021-01-18 06:54:36,00:12:05,Autoplayed: user action: Unspecified; ,New Girl: Season 2: Winston's Birthday (Episode 24),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:21:41,00:21:41,US (United States)
Angelica,2021-01-18 06:54:14,00:00:06,Autoplayed: user action: None; ,Trailer: Disenchantment: Part 3,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:06,00:00:06,US (United States)
Angelica,2021-01-18 06:07:22,00:46:49,Autoplayed: user action: None; ,Night Stalker: The Hunt for a Serial Killer: Limited Series: Manhunt (Episode 4),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:46:54,00:46:54,US (United States)
Angelica,2021-01-18 05:21:44,00:45:36,Autoplayed: user action: None; ,Night Stalker: The Hunt for a Serial Killer: Limited Series: Lock. Your. Doors. (Episode 3),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:45:41,00:45:41,US (United States)
Angelica,2021-01-18 03:56:59,00:44:45,,Night Stalker: The Hunt for a Serial Killer: Limited Series: Anyone Could Be Next (Episode 2),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:44:50,00:44:50,US (United States)
Angelica,2021-01-18 03:06:57,00:46:57,,Night Stalker: The Hunt for a Serial Killer: Limited Series: Devil in the City of Angels (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:46:57,00:46:57,US (United States)
Angelica,2021-01-18 03:05:12,00:01:38,Autoplayed: user action: None; ,Trailer: Outside the Wire,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:01:38,00:01:38,US (United States)
Angelica,2021-01-18 03:04:10,00:00:44,,Manhunt: Deadly Games: Season 1: Centbom (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:44,00:00:44,US (United States)
Angelica,2021-01-18 03:02:33,00:01:33,Autoplayed: user action: None; ,Manhunt: Deadly Games_hook_03_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:01:33,00:01:33,US (United States)
Angelica,2021-01-17 11:44:28,00:00:13,Autoplayed: user action: None; ,The Lost Husband,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:13,00:00:13,US (United States)
Angelica,2021-01-17 10:18:10,01:25:48,Autoplayed: user action: Unspecified; ,A New York Christmas Wedding,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,01:25:48,01:25:48,US (United States)
Angelica,2021-01-17 10:14:43,00:02:33,Autoplayed: user action: None; ,Elisa & Marcela,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:02:33,00:02:33,US (United States)
Angelica,2021-01-17 10:14:39,00:00:01,Autoplayed: user action: None; ,Elisa & Marcela,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:01,Not latest view,US (United States)
Angelica,2021-01-17 10:14:33,00:00:01,Autoplayed: user action: None; ,Duck Butter,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:01,00:00:01,US (United States)
Angelica,2021-01-17 10:14:18,00:00:08,Autoplayed: user action: None; ,Lovesong,,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:08,00:00:08,US (United States)
Angelica,2021-01-17 09:23:57,00:41:44,Autoplayed: user action: None; ,Designated Survivor: Season 3: #makehistory (Episode 4),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:41:48,00:41:48,US (United States)
Angelica,2021-01-17 08:38:33,00:45:22,Autoplayed: user action: None; ,Designated Survivor: Season 3: #privacyplease (Episode 3),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:45:26,00:45:26,US (United States)
Angelica,2021-01-17 07:50:55,00:47:36,Autoplayed: user action: None; ,Designated Survivor: Season 3: #slipperyslope (Episode 2),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:47:39,00:47:39,US (United States)
Angelica,2021-01-17 07:01:50,00:48:58,,Designated Survivor: Season 3: #thesystemisbroken (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:48:58,00:48:58,US (United States)
Angelica,2021-01-17 07:00:40,00:00:06,Autoplayed: user action: Unspecified; ,Designated Survivor: Season 3: #makehistory (Episode 4),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:27:08,Not latest view,US (United States)
Angelica,2021-01-17 06:12:29,00:00:30,Autoplayed: user action: Unspecified; ,Lupin: Part 1: Chapter 1 (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:03:03,00:03:03,US (United States)
Angelica,2021-01-17 06:10:37,00:00:09,Autoplayed: user action: None; ,Sweet Home: Season 1_CLIP_MUSIC_NON1,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:09,00:00:09,US (United States)
Angelica,2021-01-17 06:10:22,00:00:04,Autoplayed: user action: None; ,Manhunt: Deadly Games_hook_03_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:04,Not latest view,US (United States)
Angelica,2021-01-17 06:09:51,00:00:06,Autoplayed: user action: None; ,Season 1 Trailer: Surviving Death,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:06,00:00:06,US (United States)
Angelica,2021-01-17 06:09:37,00:00:04,Autoplayed: user action: None; ,Season 1 Trailer: Tiny Pretty Things,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:04,00:00:04,US (United States)
Angelica,2021-01-17 05:43:18,00:18:33,,Night Stalker: The Hunt for a Serial Killer: Limited Series: Devil in the City of Angels (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:18:33,Not latest view,US (United States)
Angelica,2021-01-17 05:42:42,00:00:26,,Trailer: Night Stalker: The Hunt for a Serial Killer,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:26,00:00:26,US (United States)
Angelica,2021-01-17 04:32:13,01:10:21,Autoplayed: user action: Unspecified; ,Bridgerton: Season 1: After the Rain (Episode 8),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,01:09:26,01:09:26,US (United States)
Angelica,2021-01-17 03:34:45,00:57:25,Autoplayed: user action: None; ,Bridgerton: Season 1: Oceans Apart (Episode 7),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:57:38,00:57:38,US (United States)
Angelica,2021-01-17 02:40:54,00:53:49,,Bridgerton: Season 1: Swish (Episode 6),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:54:02,00:54:02,US (United States)
Angelica,2021-01-17 01:40:44,00:59:57,Autoplayed: user action: Unspecified; ,Bridgerton: Season 1: The Duke and I (Episode 5),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:57:57,00:57:57,US (United States)
Angelica,2021-01-17 00:42:59,00:57:43,Autoplayed: user action: None; ,Bridgerton: Season 1: An Affair of Honor (Episode 4),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:57:56,00:57:56,US (United States)
Angelica,2021-01-16 23:49:22,00:53:34,Autoplayed: user action: None; ,Bridgerton: Season 1: Art of the Swoon (Episode 3),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:53:47,00:53:47,US (United States)
Angelica,2021-01-16 23:46:25,00:02:52,,Bridgerton: Season 1: Shock and Delight (Episode 2),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:58:22,00:58:22,US (United States)
Angelica,2021-01-16 20:58:52,00:43:44,,Bridgerton: Season 1: Shock and Delight (Episode 2),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:55:35,Not latest view,US (United States)
Angelica,2021-01-16 14:19:08,00:38:03,Autoplayed: user action: None; ,Bridgerton: Season 1: Shock and Delight (Episode 2),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:38:16,Not latest view,US (United States)
Angelica,2021-01-16 13:14:18,00:54:36,Autoplayed: user action: Unspecified; ,Bridgerton: Season 1: Diamond of the First Water (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:54:36,00:54:36,US (United States)
Angelica,2021-01-16 07:38:26,00:27:00,Autoplayed: user action: None; ,Designated Survivor: Season 3: #makehistory (Episode 4),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:27:04,Not latest view,US (United States)
Angelica,2021-01-16 06:53:01,00:45:23,Autoplayed: user action: None; ,Designated Survivor: Season 3: #privacyplease (Episode 3),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:45:26,Not latest view,US (United States)
Angelica,2021-01-16 06:05:22,00:47:36,Autoplayed: user action: None; ,Designated Survivor: Season 3: #slipperyslope (Episode 2),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:47:40,Not latest view,US (United States)
Angelica,2021-01-16 05:16:25,00:48:54,Autoplayed: user action: None; ,Designated Survivor: Season 3: #thesystemisbroken (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:48:58,Not latest view,US (United States)
Angelica,2021-01-16 03:59:15,00:40:56,Autoplayed: user action: Unspecified; ,Designated Survivor: Season 2: Run (Episode 22),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:41:45,00:41:45,US (United States)
Angelica,2021-01-16 02:06:10,00:41:22,Autoplayed: user action: Unspecified; ,Designated Survivor: Season 2: Target (Episode 21),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:42:05,00:42:05,US (United States)
Angelica,2021-01-16 01:24:39,00:41:28,Autoplayed: user action: None; ,Designated Survivor: Season 2: Bad Reception (Episode 20),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:42:06,00:42:06,US (United States)
Angelica,2021-01-16 00:42:48,00:41:48,Autoplayed: user action: None; ,Designated Survivor: Season 2: Capacity (Episode 19),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:42:32,00:42:32,US (United States)
Angelica,2021-01-16 00:18:13,00:23:40,Autoplayed: user action: Unspecified; ,Designated Survivor: Season 2: Kirkman Agonistes (Episode 18),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:40:39,00:40:39,US (United States)
Angelica,2021-01-13 08:50:19,00:16:00,Autoplayed: user action: None; ,Designated Survivor: Season 2: Kirkman Agonistes (Episode 18),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:16:59,Not latest view,US (United States)
Angelica,2021-01-13 08:08:01,00:42:15,,Designated Survivor: Season 2: Overkill (Episode 17),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:42:15,00:42:15,US (United States)
Angelica,2021-01-13 08:06:52,00:00:05,Autoplayed: user action: None; ,Season 1 Trailer: Bridgerton,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:05,00:00:05,US (United States)
Angelica,2021-01-13 08:06:25,00:00:17,Autoplayed: user action: None; ,Night Stalker: The Hunt for a Serial Killer: Clip: Intense Emotion,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:00:17,00:00:17,US (United States)
everyone else,2021-01-13 06:25:31,00:01:58,,The Last Kingdom (Trailer),TRAILER,Amazon TVAFTKM Smart TV,00:01:58,00:01:58,US (United States)
everyone else,2021-01-13 06:22:47,00:02:42,,Season 1 Trailer: Bridgerton,TRAILER,Amazon TVAFTKM Smart TV,00:02:42,00:02:42,US (United States)
everyone else,2021-01-13 06:20:07,00:02:38,Autoplayed: user action: None; ,Trailer: Spenser Confidential,TRAILER,Amazon TVAFTKM Smart TV,00:02:38,00:02:38,US (United States)
everyone else,2021-01-13 04:17:32,02:02:08,Autoplayed: user action: Unspecified; ,The Old Guard,,Amazon TVAFTKM Smart TV,01:57:45,01:57:45,US (United States)
everyone else,2021-01-13 04:14:30,00:02:33,Autoplayed: user action: None; ,Ne Zha_hook_03_16x9,HOOK,Amazon TVAFTKM Smart TV,00:02:33,00:02:33,US (United States)
everyone else,2021-01-13 04:14:13,00:00:14,Autoplayed: user action: None; ,Midnight Special_hook_02_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:14,00:00:14,US (United States)
everyone else,2021-01-13 04:13:55,00:00:04,Autoplayed: user action: None; ,Stardust_hook_primary_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:04,00:00:04,US (United States)
everyone else,2021-01-13 04:13:27,00:00:08,Autoplayed: user action: None; ,Selfless_hook_primary_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:08,00:00:08,US (United States)
everyone else,2021-01-13 04:13:14,00:00:09,Autoplayed: user action: None; ,Bright (Trailer),TRAILER,Amazon TVAFTKM Smart TV,00:00:09,00:00:09,US (United States)
everyone else,2021-01-13 04:12:52,00:00:06,Autoplayed: user action: None; ,Trailer 2: 6 Underground,TRAILER,Amazon TVAFTKM Smart TV,00:00:06,00:00:06,US (United States)
everyone else,2021-01-13 04:12:31,00:00:08,Autoplayed: user action: None; ,We Summon the Darkness_hook_01_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:08,00:00:08,US (United States)
everyone else,2021-01-13 04:12:13,00:00:05,Autoplayed: user action: None; ,Don't Listen_hook_03_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:05,00:00:05,US (United States)
everyone else,2021-01-13 04:11:50,00:00:07,Autoplayed: user action: None; ,Have a Good Trip: Adventures in Psychedelics (Trailer),TRAILER,Amazon TVAFTKM Smart TV,00:00:07,00:00:07,US (United States)
everyone else,2021-01-13 04:11:38,00:00:05,Autoplayed: user action: None; ,Trailer: A Babysitter's Guide to Monster Hunting,TRAILER,Amazon TVAFTKM Smart TV,00:00:05,00:00:05,US (United States)
everyone else,2021-01-13 04:11:27,00:00:08,Autoplayed: user action: None; ,The 2nd_hook_02_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:08,00:00:08,US (United States)
everyone else,2021-01-13 04:10:56,00:00:28,Autoplayed: user action: None; ,Trailer: His House,TRAILER,Amazon TVAFTKM Smart TV,00:00:28,00:00:28,US (United States)
everyone else,2021-01-13 04:10:32,00:00:07,Autoplayed: user action: None; ,Trailer: Charming,TRAILER,Amazon TVAFTKM Smart TV,00:00:07,00:00:07,US (United States)
everyone else,2021-01-13 04:09:59,00:00:29,Autoplayed: user action: None; ,Clip 1: Creating The Queen's Gambit,HOOK,Amazon TVAFTKM Smart TV,00:00:29,00:00:29,US (United States)
everyone else,2021-01-13 04:09:25,00:00:28,Autoplayed: user action: None; ,Tremors: Shrieker Island_hook_02_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:28,00:00:28,US (United States)
everyone else,2021-01-13 04:09:17,00:00:04,Autoplayed: user action: None; ,Trailer: Work It,TRAILER,Amazon TVAFTKM Smart TV,00:00:04,00:00:04,US (United States)
everyone else,2021-01-13 04:09:06,00:00:02,Autoplayed: user action: None; ,"The Witcher: Season 1: Of Banquets, Bastards and Burials (Episode 4)",,Amazon TVAFTKM Smart TV,00:00:02,00:00:02,US (United States)
everyone else,2021-01-13 04:07:38,00:01:14,Autoplayed: user action: None; ,Trailer: Spenser Confidential,TRAILER,Amazon TVAFTKM Smart TV,00:01:14,Not latest view,US (United States)
everyone else,2021-01-13 03:34:57,00:32:28,,Making The Witcher,,Amazon TVAFTKM Smart TV,00:32:28,00:32:28,US (United States)
everyone else,2021-01-13 03:34:15,00:00:39,Autoplayed: user action: None; ,Trailer: Making The Witcher,TRAILER,Amazon TVAFTKM Smart TV,00:00:39,00:00:39,US (United States)
everyone else,2021-01-13 03:33:57,00:00:16,Autoplayed: user action: None; ,Trailer: Lost Bullet,TRAILER,Amazon TVAFTKM Smart TV,00:00:16,00:00:16,US (United States)
everyone else,2021-01-13 03:33:43,00:00:11,Autoplayed: user action: None; ,Trailer: The Trial of the Chicago 7,TRAILER,Amazon TVAFTKM Smart TV,00:00:11,00:00:11,US (United States)
everyone else,2021-01-13 03:33:35,00:00:04,Autoplayed: user action: None; ,Welcome to Sudden Death_hook_02_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:04,00:00:04,US (United States)
everyone else,2021-01-13 03:32:45,00:00:41,Autoplayed: user action: None; ,Ghosts of War_hook_01_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:41,00:00:41,US (United States)
everyone else,2021-01-13 03:31:38,00:00:55,Autoplayed: user action: None; ,Trailer: Feel the Beat,TRAILER,Amazon TVAFTKM Smart TV,00:00:55,00:00:55,US (United States)
everyone else,2021-01-13 03:31:26,00:00:05,Autoplayed: user action: None; ,Trailer: Hillbilly Elegy,TRAILER,Amazon TVAFTKM Smart TV,00:00:05,00:00:05,US (United States)
everyone else,2021-01-13 03:31:11,00:00:12,Autoplayed: user action: None; ,Trailer: Secrets of the Saqqara Tomb,TRAILER,Amazon TVAFTKM Smart TV,00:00:12,00:00:12,US (United States)
everyone else,2021-01-13 03:30:01,00:01:08,Autoplayed: user action: None; ,Trailer: Freaks - You're One of Us,TRAILER,Amazon TVAFTKM Smart TV,00:01:08,00:01:08,US (United States)
everyone else,2021-01-13 03:29:49,00:00:04,Autoplayed: user action: None; ,Double World_hook_02_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:04,00:00:04,US (United States)
everyone else,2021-01-13 03:29:09,00:00:37,Autoplayed: user action: None; ,Hubie Halloween (Trailer),TRAILER,Amazon TVAFTKM Smart TV,00:00:37,00:00:37,US (United States)
everyone else,2021-01-13 03:27:36,00:01:29,Autoplayed: user action: None; ,Trailer: My Octopus Teacher,TRAILER,Amazon TVAFTKM Smart TV,00:01:29,00:01:29,US (United States)
everyone else,2021-01-13 03:27:17,00:00:17,Autoplayed: user action: None; ,Trailer: #Alive,TRAILER,Amazon TVAFTKM Smart TV,00:00:17,00:00:17,US (United States)
everyone else,2021-01-13 03:27:06,00:00:08,Autoplayed: user action: None; ,Trailer: American Murder: The Family Next Door,TRAILER,Amazon TVAFTKM Smart TV,00:00:08,00:00:08,US (United States)
everyone else,2021-01-13 03:26:50,00:00:13,Autoplayed: user action: None; ,Trailer: The Wrong Missy,TRAILER,Amazon TVAFTKM Smart TV,00:00:13,00:00:13,US (United States)
everyone else,2021-01-13 03:26:33,00:00:14,Autoplayed: user action: None; ,The Last Days of American Crime (Trailer),TRAILER,Amazon TVAFTKM Smart TV,00:00:14,00:00:14,US (United States)
everyone else,2021-01-13 03:26:15,00:00:14,Autoplayed: user action: None; ,Trailer: The Sleepover,TRAILER,Amazon TVAFTKM Smart TV,00:00:14,00:00:14,US (United States)
everyone else,2021-01-13 03:25:06,00:01:07,Autoplayed: user action: None; ,Trailer: Death to 2020,TRAILER,Amazon TVAFTKM Smart TV,00:01:07,00:01:07,US (United States)
everyone else,2021-01-13 03:24:30,00:00:32,Autoplayed: user action: None; ,Trailer: The Babysitter: Killer Queen,TRAILER,Amazon TVAFTKM Smart TV,00:00:32,00:00:32,US (United States)
everyone else,2021-01-13 03:24:14,00:00:13,Autoplayed: user action: None; ,Trailer: The Devil All The Time,TRAILER,Amazon TVAFTKM Smart TV,00:00:13,00:00:13,US (United States)
everyone else,2021-01-13 03:22:55,00:01:15,Autoplayed: user action: None; ,Trailer: We Can Be Heroes,TRAILER,Amazon TVAFTKM Smart TV,00:01:15,00:01:15,US (United States)
everyone else,2021-01-13 03:22:49,00:00:04,Autoplayed: user action: None; ,The Outpost_hook_04_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:04,00:00:04,US (United States)
everyone else,2021-01-13 03:22:39,00:00:07,Autoplayed: user action: None; ,Trailer: Ava,TRAILER,Amazon TVAFTKM Smart TV,00:00:07,00:00:07,US (United States)
everyone else,2021-01-13 03:21:12,00:01:23,Autoplayed: user action: None; ,Dragonheart: Vengeance_hook_01_16x9,HOOK,Amazon TVAFTKM Smart TV,00:01:23,00:01:23,US (United States)
everyone else,2021-01-13 03:20:56,00:00:13,Autoplayed: user action: None; ,Clip 1: Enola Holmes,HOOK,Amazon TVAFTKM Smart TV,00:00:13,00:00:13,US (United States)
everyone else,2021-01-13 03:20:12,00:00:41,Autoplayed: user action: None; ,Trailer: Spenser Confidential,TRAILER,Amazon TVAFTKM Smart TV,00:00:41,Not latest view,US (United States)
everyone else,2021-01-13 03:19:51,00:00:03,Autoplayed: user action: None; ,The Shannara Chronicles: Season 1: Fury (Episode 3),,Amazon TVAFTKM Smart TV,00:11:25,00:11:25,US (United States)
everyone else,2021-01-13 03:19:28,00:00:19,Autoplayed: user action: None; ,The Shannara Chronicles: Season 1_hook_primary_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:19,00:00:19,US (United States)
everyone else,2021-01-13 03:18:44,00:00:02,Autoplayed: user action: None; ,The Old Guard,,Amazon TVAFTKM Smart TV,00:00:02,Not latest view,US (United States)
everyone else,2021-01-13 03:18:40,00:00:02,Autoplayed: user action: None; ,The Beast,,Amazon TVAFTKM Smart TV,00:00:02,00:00:02,US (United States)
everyone else,2021-01-13 02:50:50,00:26:24,,The Old Guard,,Amazon TVAFTKM Smart TV,02:05:31,Not latest view,US (United States)
everyone else,2021-01-13 02:35:05,00:00:25,,The Old Guard,,Amazon TVAFTKM Smart TV,01:28:44,Not latest view,US (United States)
everyone else,2021-01-13 01:51:24,00:35:24,,The Old Guard,,Amazon TVAFTKM Smart TV,01:34:50,Not latest view,US (United States)
Kids,2021-01-13 01:16:07,00:18:55,,Pokémon Journeys: The Series: Part 1: Legend? Go! Friends? Go! (Episode 2),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:19:01,00:19:01,US (United States)
everyone else,2021-01-12 23:50:13,01:37:31,Autoplayed: user action: Unspecified; ,The Old Guard,,Amazon TVAFTKM Smart TV,01:13:12,Not latest view,US (United States)
everyone else,2021-01-12 23:49:30,00:00:08,Autoplayed: user action: None; ,The Minimalists: Less Is Now VCEE Clip 4 (Relatable),HOOK,Amazon TVAFTKM Smart TV,00:00:08,00:00:08,US (United States)
everyone else,2021-01-12 23:48:32,00:00:41,Autoplayed: user action: None; ,Guest House_hook_01_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:41,00:00:41,US (United States)
everyone else,2021-01-12 23:48:08,00:00:09,Autoplayed: user action: None; ,Incarnate_hook_04_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:09,00:00:09,US (United States)
everyone else,2021-01-12 23:48:00,00:00:06,Autoplayed: user action: None; ,Børning 3_hook_01_16x9,HOOK,Amazon TVAFTKM Smart TV,00:00:06,00:00:06,US (United States)
everyone else,2021-01-12 23:47:06,00:00:08,Autoplayed: user action: None; ,"Trailer: Crack: Cocaine, Corruption & Conspiracy",TRAILER,Amazon TVAFTKM Smart TV,00:00:08,00:00:08,US (United States)
